2025-12-19 16:47:19.568352: Alert #0, Risk: 78
2025-12-19 16:47:19.634279: Alert #1, Risk: 76
2025-12-19 16:47:19.697632: Alert #1, Risk: 76
2025-12-19 16:47:21.631747: Alert #1, Risk: 76
2025-12-19 16:47:21.695948: Alert #1, Risk: 76
2025-12-19 16:47:21.758353: Alert #1, Risk: 76
2025-12-19 16:47:21.819793: Alert #1, Risk: 78
2025-12-19 16:47:22.942655: Alert #1, Risk: 76
2025-12-19 16:47:23.005302: Alert #1, Risk: 76
2025-12-19 16:47:23.068054: Alert #1, Risk: 76
2025-12-19 16:47:23.131683: Alert #1, Risk: 78
2025-12-19 16:47:23.195227: Alert #1, Risk: 78
2025-12-19 16:47:23.256932: Alert #1, Risk: 80
2025-12-19 16:47:23.319640: Alert #1, Risk: 78
2025-12-19 16:47:23.383024: Alert #1, Risk: 78
2025-12-19 16:47:23.452231: Alert #1, Risk: 76
2025-12-19 16:47:23.519736: Alert #1, Risk: 76
2025-12-19 16:47:23.583875: Alert #1, Risk: 76
2025-12-19 16:47:23.646595: Alert #1, Risk: 78
2025-12-19 16:47:23.710184: Alert #1, Risk: 78
2025-12-19 16:47:23.772658: Alert #1, Risk: 80
2025-12-19 16:47:23.836860: Alert #1, Risk: 78
2025-12-19 16:47:23.899422: Alert #1, Risk: 80
2025-12-19 16:47:23.961543: Alert #1, Risk: 82
2025-12-19 16:47:24.024122: Alert #1, Risk: 82
2025-12-19 16:47:24.087320: Alert #1, Risk: 82
2025-12-19 16:47:24.150466: Alert #1, Risk: 84
2025-12-19 16:47:24.214686: Alert #1, Risk: 82
2025-12-19 16:47:24.277135: Alert #1, Risk: 82
2025-12-19 16:47:24.341071: Alert #1, Risk: 86
2025-12-19 16:47:24.404872: Alert #1, Risk: 86
2025-12-19 16:47:24.469108: Alert #1, Risk: 84
2025-12-19 16:47:24.532321: Alert #1, Risk: 84
2025-12-19 16:47:24.597954: Alert #1, Risk: 84
2025-12-19 16:47:24.661421: Alert #1, Risk: 84
2025-12-19 16:47:24.724235: Alert #1, Risk: 82
2025-12-19 16:47:24.786434: Alert #1, Risk: 82
2025-12-19 16:47:24.849210: Alert #1, Risk: 82
2025-12-19 16:47:24.910995: Alert #1, Risk: 80
2025-12-19 16:47:24.974748: Alert #1, Risk: 78
2025-12-19 16:47:25.037491: Alert #1, Risk: 80
2025-12-19 16:47:25.101806: Alert #1, Risk: 80
2025-12-19 16:47:25.165176: Alert #1, Risk: 78
2025-12-19 16:47:25.228970: Alert #1, Risk: 78
2025-12-19 16:47:25.291741: Alert #1, Risk: 78
2025-12-19 16:47:25.354661: Alert #1, Risk: 80
2025-12-19 16:47:25.416093: Alert #1, Risk: 80
2025-12-19 16:47:25.667086: Alert #1, Risk: 80
2025-12-19 16:47:25.730204: Alert #1, Risk: 82
2025-12-19 16:47:25.917886: Alert #1, Risk: 82
2025-12-19 16:47:25.980869: Alert #1, Risk: 80
2025-12-19 16:47:26.043715: Alert #1, Risk: 80
2025-12-19 16:47:26.105528: Alert #1, Risk: 78
2025-12-19 16:47:26.230500: Alert #1, Risk: 82
2025-12-19 16:47:26.293396: Alert #1, Risk: 82
2025-12-19 16:47:26.357702: Alert #1, Risk: 82
2025-12-19 16:47:26.421500: Alert #1, Risk: 82
2025-12-19 16:47:26.484097: Alert #1, Risk: 82
2025-12-19 16:47:26.547448: Alert #1, Risk: 82
2025-12-19 16:47:26.610495: Alert #1, Risk: 82
2025-12-19 16:47:26.673329: Alert #1, Risk: 82
2025-12-19 16:47:26.734691: Alert #1, Risk: 82
2025-12-19 16:47:26.798701: Alert #1, Risk: 80
2025-12-19 16:47:26.987258: Alert #1, Risk: 82
2025-12-19 16:47:27.049906: Alert #1, Risk: 82
2025-12-19 16:47:27.184163: Alert #1, Risk: 76
2025-12-19 16:47:27.245990: Alert #1, Risk: 76
2025-12-19 16:47:27.309633: Alert #1, Risk: 78
2025-12-19 16:47:27.373844: Alert #1, Risk: 80
2025-12-19 16:47:27.436172: Alert #1, Risk: 80
2025-12-19 16:47:27.500515: Alert #1, Risk: 80
2025-12-19 16:47:27.563582: Alert #1, Risk: 82
2025-12-19 16:47:27.626563: Alert #1, Risk: 82
2025-12-19 16:47:27.690809: Alert #1, Risk: 84
2025-12-19 16:47:27.753414: Alert #1, Risk: 84
2025-12-19 16:47:27.817011: Alert #1, Risk: 86
2025-12-19 16:47:27.880487: Alert #1, Risk: 88
2025-12-19 16:47:27.942867: Alert #1, Risk: 88
2025-12-19 16:47:28.005468: Alert #1, Risk: 90
2025-12-19 16:47:28.069204: Alert #1, Risk: 90
2025-12-19 16:47:28.132309: Alert #1, Risk: 90
2025-12-19 16:47:28.195589: Alert #1, Risk: 92
2025-12-19 16:47:28.259308: Alert #1, Risk: 92
2025-12-19 16:47:28.322318: Alert #1, Risk: 92
2025-12-19 16:47:28.383980: Alert #1, Risk: 92
2025-12-19 16:47:28.447278: Alert #1, Risk: 92
2025-12-19 16:47:28.510530: Alert #1, Risk: 92
2025-12-19 16:47:28.572723: Alert #1, Risk: 92
2025-12-19 16:47:28.635695: Alert #1, Risk: 92
2025-12-19 16:47:28.699150: Alert #1, Risk: 92
2025-12-19 16:47:28.762329: Alert #1, Risk: 92
2025-12-19 16:47:28.825725: Alert #1, Risk: 92
2025-12-19 16:47:28.889347: Alert #1, Risk: 100
2025-12-19 16:47:28.952834: Alert #1, Risk: 100
2025-12-19 16:47:29.015690: Alert #1, Risk: 96
2025-12-19 16:47:29.079223: Alert #1, Risk: 100
2025-12-19 16:47:29.142269: Alert #1, Risk: 98
2025-12-19 16:47:29.206546: Alert #1, Risk: 94
2025-12-19 16:47:29.270384: Alert #1, Risk: 94
2025-12-19 16:47:29.333190: Alert #1, Risk: 94
2025-12-19 16:47:29.396276: Alert #1, Risk: 92
2025-12-19 16:47:29.460220: Alert #1, Risk: 94
2025-12-19 16:47:29.523905: Alert #1, Risk: 94
2025-12-19 16:47:29.585430: Alert #1, Risk: 94
2025-12-19 16:47:29.649785: Alert #1, Risk: 92
2025-12-19 16:47:29.715142: Alert #1, Risk: 94
2025-12-19 16:47:29.777823: Alert #1, Risk: 94
2025-12-19 16:47:29.858970: Alert #1, Risk: 94
2025-12-19 16:47:29.921379: Alert #1, Risk: 96
2025-12-19 16:47:29.984241: Alert #1, Risk: 94
2025-12-19 16:47:30.048224: Alert #1, Risk: 94
2025-12-19 16:47:30.111944: Alert #1, Risk: 94
2025-12-19 16:47:30.175284: Alert #1, Risk: 96
2025-12-19 16:47:30.238001: Alert #1, Risk: 94
2025-12-19 16:47:30.301001: Alert #1, Risk: 92
2025-12-19 16:47:30.364511: Alert #1, Risk: 92
2025-12-19 16:47:30.428831: Alert #1, Risk: 94
2025-12-19 16:47:30.492323: Alert #1, Risk: 92
2025-12-19 16:47:30.555961: Alert #1, Risk: 92
2025-12-19 16:47:30.619013: Alert #1, Risk: 90
2025-12-19 16:47:30.682736: Alert #1, Risk: 90
2025-12-19 16:47:30.746826: Alert #1, Risk: 90
2025-12-19 16:47:30.810084: Alert #1, Risk: 92
2025-12-19 16:47:30.873542: Alert #1, Risk: 92
2025-12-19 16:47:30.937191: Alert #1, Risk: 92
2025-12-19 16:47:31.000062: Alert #1, Risk: 90
2025-12-19 16:47:31.063738: Alert #1, Risk: 92
2025-12-19 16:47:31.128374: Alert #1, Risk: 90
2025-12-19 16:47:31.191997: Alert #1, Risk: 92
2025-12-19 16:47:31.254952: Alert #1, Risk: 94
2025-12-19 16:47:31.317929: Alert #1, Risk: 90
2025-12-19 16:47:31.381955: Alert #1, Risk: 90
2025-12-19 16:47:31.447165: Alert #1, Risk: 92
2025-12-19 16:47:31.511398: Alert #1, Risk: 92
2025-12-19 16:47:31.575215: Alert #1, Risk: 92
2025-12-19 16:47:31.640030: Alert #1, Risk: 92
2025-12-19 16:47:31.714387: Alert #1, Risk: 92
2025-12-19 16:47:31.777177: Alert #1, Risk: 90
2025-12-19 16:47:31.840304: Alert #1, Risk: 92
2025-12-19 16:47:31.903465: Alert #1, Risk: 84
2025-12-19 16:47:31.967237: Alert #1, Risk: 84
2025-12-19 16:47:32.030430: Alert #1, Risk: 88
2025-12-19 16:47:32.095891: Alert #1, Risk: 88
2025-12-19 16:47:32.159472: Alert #1, Risk: 88
2025-12-19 16:47:32.222375: Alert #1, Risk: 88
2025-12-19 16:47:32.286964: Alert #1, Risk: 88
2025-12-19 16:47:32.350605: Alert #1, Risk: 92
2025-12-19 16:47:32.415325: Alert #1, Risk: 90
2025-12-19 16:47:32.479870: Alert #1, Risk: 90
2025-12-19 16:47:32.542538: Alert #1, Risk: 90
2025-12-19 16:47:32.606659: Alert #1, Risk: 90
2025-12-19 16:47:32.669313: Alert #1, Risk: 90
2025-12-19 16:47:32.732655: Alert #1, Risk: 88
2025-12-19 16:47:32.797641: Alert #1, Risk: 88
2025-12-19 16:47:32.863966: Alert #1, Risk: 88
2025-12-19 16:47:32.931438: Alert #1, Risk: 90
2025-12-19 16:47:32.995385: Alert #1, Risk: 90
2025-12-19 16:47:33.060100: Alert #1, Risk: 90
2025-12-19 16:47:33.124087: Alert #1, Risk: 90
2025-12-19 16:47:33.187867: Alert #1, Risk: 90
2025-12-19 16:47:33.252345: Alert #1, Risk: 90
2025-12-19 16:47:33.314720: Alert #1, Risk: 84
2025-12-19 16:47:33.379055: Alert #1, Risk: 84
2025-12-19 16:47:33.443093: Alert #1, Risk: 84
2025-12-19 16:47:33.505542: Alert #1, Risk: 84
2025-12-19 16:47:33.568049: Alert #1, Risk: 86
2025-12-19 16:47:33.635668: Alert #1, Risk: 86
2025-12-19 16:47:33.698313: Alert #1, Risk: 86
2025-12-19 16:47:33.761913: Alert #1, Risk: 86
2025-12-19 16:47:33.824605: Alert #1, Risk: 86
2025-12-19 16:47:33.888066: Alert #1, Risk: 90
2025-12-19 16:47:33.952102: Alert #1, Risk: 88
2025-12-19 16:47:34.016377: Alert #1, Risk: 88
2025-12-19 16:47:34.080585: Alert #1, Risk: 88
2025-12-19 16:47:34.144764: Alert #1, Risk: 90
2025-12-19 16:47:34.210300: Alert #1, Risk: 90
2025-12-19 16:48:10.972626: Alert #0, Risk: 88
2025-12-19 16:48:11.039883: Alert #1, Risk: 94
2025-12-19 16:48:11.102828: Alert #1, Risk: 94
2025-12-19 16:48:11.166247: Alert #1, Risk: 94
2025-12-19 16:48:11.231168: Alert #1, Risk: 94
2025-12-19 16:48:11.293768: Alert #1, Risk: 96
2025-12-19 16:48:11.357084: Alert #1, Risk: 90
2025-12-19 16:48:11.421294: Alert #1, Risk: 90
2025-12-19 16:48:11.485173: Alert #1, Risk: 90
2025-12-19 16:48:11.547824: Alert #1, Risk: 90
2025-12-19 16:48:11.612254: Alert #1, Risk: 90
2025-12-19 16:48:11.675082: Alert #1, Risk: 84
2025-12-19 16:48:11.737811: Alert #1, Risk: 84
2025-12-19 16:48:11.800555: Alert #1, Risk: 84
2025-12-19 16:48:11.863130: Alert #1, Risk: 90
2025-12-19 16:48:11.927366: Alert #1, Risk: 90
2025-12-19 16:48:11.989862: Alert #1, Risk: 84
2025-12-19 16:48:12.052755: Alert #1, Risk: 84
2025-12-19 16:48:12.117801: Alert #1, Risk: 86
2025-12-19 16:48:12.180833: Alert #1, Risk: 92
2025-12-19 16:48:12.245066: Alert #1, Risk: 92
2025-12-19 16:48:12.309192: Alert #1, Risk: 86
2025-12-19 16:48:12.373855: Alert #1, Risk: 86
2025-12-19 16:48:12.438057: Alert #1, Risk: 100
2025-12-19 16:48:12.502045: Alert #1, Risk: 90
2025-12-19 16:48:12.565607: Alert #1, Risk: 90
